missing;day_number;year;CODE;sv_date_from_db;temp;station;Tidsutsnitt:;;;;
;001;1980;1980001;01.01.1980;0.2;Hemse;Kvalitetskontrollerade historiska data (utom de senaste 3 mån);;;;
;002;1980;1980002;02.01.1980;-2.7;Hemse;Tidsperiod (fr.o.m.) = 1945-02-01 00:00:00 (UTC);;;;
;003;1980;1980003;03.01.1980;-2.9;Hemse;Tidsperiod (t.o.m.) = 2021-02-01 06:00:00 (UTC);;;;
;004;1980;1980004;04.01.1980;-1.7;Hemse;Medelvärdet är beräknat för = 24 timmar;;;;
;005;1980;1980005;05.01.1980;-2;Hemse;;;;;
;006;1980;1980006;06.01.1980;-2.5;Hemse;Kvalitetskoderna:;;;;
;007;1980;1980007;07.01.1980;-1.5;Hemse;Grön (G) = Kontrollerade och godkända värden.;;;;
;008;1980;1980008;08.01.1980;0;Hemse;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).;;;;
;009;1980;1980009;09.01.1980;-1.2;Hemse;;;;;
;010;1980;1980010;10.01.1980;-4.9;Hemse;Orsaker till saknade data:;;;;
;011;1980;1980011;11.01.1980;-5.6;Hemse;  stationen eller givaren har varit ur funktion.;;;;
;012;1980;1980012;12.01.1980;-2;Hemse;;;;;
;013;1980;1980013;13.01.1980;-0.5;Hemse;Stationsnamn;Klimatnummer;Mäthöjd (meter över marken);;
;014;1980;1980014;14.01.1980;-0.1;Hemse;Hemse;78140;2;;
;015;1980;1980015;15.01.1980;0.1;Hemse;;;;;
;016;1980;1980016;16.01.1980;-4.6;Hemse;Parameternamn;Beskrivning;Enhet;;
;017;1980;1980017;17.01.1980;-2;Hemse;Lufttemperatur;medelvärde 1 dygn. 1 gång/dygn. kl 00;degree celsius;;
;018;1980;1980018;18.01.1980;-1.8;Hemse;;;;;
;019;1980;1980019;19.01.1980;-1;Hemse;Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
;020;1980;1980020;20.01.1980;-0.3;Hemse;01.02.1945 00:00;30.06.1980 23:59;25;57.2438;18.3835
;021;1980;1980021;21.01.1980;-1.9;Hemse;01.10.1980 00:00;30.04.2021 23:59;22.072;57.2437;18.3788
;022;1980;1980022;22.01.1980;-0.3;Hemse;;;;;
;023;1980;1980023;23.01.1980;0.8;Hemse;;;;;
;024;1980;1980024;24.01.1980;-0.8;Hemse;;;;;
;025;1980;1980025;25.01.1980;-5.2;Hemse;;;;;
;026;1980;1980026;26.01.1980;-7.8;Hemse;;;;;
;027;1980;1980027;27.01.1980;-7.2;Hemse;;;;;
;028;1980;1980028;28.01.1980;-14.4;Hemse;;;;;
;029;1980;1980029;29.01.1980;-5.5;Hemse;;;;;
;030;1980;1980030;30.01.1980;-4.6;Hemse;;;;;
;031;1980;1980031;31.01.1980;-5.2;Hemse;;;;;
;032;1980;1980032;01.02.1980;-5;Hemse;;;;;
;033;1980;1980033;02.02.1980;-9.3;Hemse;;;;;
;034;1980;1980034;03.02.1980;-6;Hemse;;;;;
;035;1980;1980035;04.02.1980;-6.8;Hemse;;;;;
;036;1980;1980036;05.02.1980;-8.8;Hemse;;;;;
;037;1980;1980037;06.02.1980;-4.7;Hemse;;;;;
;038;1980;1980038;07.02.1980;-4.7;Hemse;;;;;
;039;1980;1980039;08.02.1980;-5.9;Hemse;;;;;
;040;1980;1980040;09.02.1980;-5.8;Hemse;;;;;
;041;1980;1980041;10.02.1980;-4.6;Hemse;;;;;
;042;1980;1980042;11.02.1980;-3.3;Hemse;;;;;
;043;1980;1980043;12.02.1980;-6.1;Hemse;;;;;
;044;1980;1980044;13.02.1980;-5.7;Hemse;;;;;
;045;1980;1980045;14.02.1980;-0.5;Hemse;;;;;
;046;1980;1980046;15.02.1980;0;Hemse;;;;;
;047;1980;1980047;16.02.1980;0.7;Hemse;;;;;
;048;1980;1980048;17.02.1980;-2.8;Hemse;;;;;
;049;1980;1980049;18.02.1980;-2.7;Hemse;;;;;
;050;1980;1980050;19.02.1980;-1.6;Hemse;;;;;
;051;1980;1980051;20.02.1980;-6.9;Hemse;;;;;
;052;1980;1980052;21.02.1980;-3.5;Hemse;;;;;
;053;1980;1980053;22.02.1980;-3;Hemse;;;;;
;054;1980;1980054;23.02.1980;-2;Hemse;;;;;
;055;1980;1980055;24.02.1980;-2.9;Hemse;;;;;
;056;1980;1980056;25.02.1980;-3.8;Hemse;;;;;
;057;1980;1980057;26.02.1980;-3.6;Hemse;;;;;
;058;1980;1980058;27.02.1980;-2.1;Hemse;;;;;
;059;1980;1980059;28.02.1980;-1.9;Hemse;;;;;
;060;1980;1980060;29.02.1980;-1.1;Hemse;;;;;
;061;1980;1980061;01.03.1980;2;Hemse;;;;;
;062;1980;1980062;02.03.1980;-2.8;Hemse;;;;;
;063;1980;1980063;03.03.1980;-4.5;Hemse;;;;;
;064;1980;1980064;04.03.1980;-5.2;Hemse;;;;;
;065;1980;1980065;05.03.1980;-5.1;Hemse;;;;;
;066;1980;1980066;06.03.1980;-0.4;Hemse;;;;;
;067;1980;1980067;07.03.1980;-0.9;Hemse;;;;;
;068;1980;1980068;08.03.1980;0.1;Hemse;;;;;
