nest_code;nestmix;epy3;CODESTART;CODEEND;HATCH DAY;END DAY;year;ring;sex;average_31_before;min_31_period;max_31_period;60_after;min_60;max_60;average_preciti_31;XX_NA;box;id;xf;boxor;fring;hlf;gs1;mring;hlm;fage;mage;gs2;idor;xfblock;eblock;code;ring;exp;mani;treatment;exp;epy3;sex;mass2;mass11;mass12;mass14;rtars14;pha;pha;PHA;
FKIII112009;EPP;0;2009142;2009156;52;66;2009;1EP48465;M;4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;FKIII11;90045;0;FKIII11;1EP48353;0.8784266;0.124972903;1EP48354;0.9516288;YEARLING;YEARLING;0.124972903;90045;90012;90012;HC;1EP48465;bs;3;experimental nests;enlarged;WPY;M;1.9;NA;NA;NA;16.4;0.002333333;0.002333333;0.2333333;
BS23B2011;EPP;0;2011138;2011152;48;62;2011;1ER03418;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;BS23B;110032;1;RE47C;1EP47401;1.0980333;-0.087057888;1EP46492;0.9516288;OLDER;YEARLING;-0.087057888;110120;111014;111014;HAE;1ER03418;bs;3;experimental nests;enlarged;WPY;M;2.5;NA;NA;11.2;16.7;0.003666667;0.003666667;0.3666667;
OJ2072011;EPP;0;2011141;2011155;51;65;2011;1ER03165;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;OJ207;110110;0;OJ207;1ER03317;1.0980333;-0.01965044;1EP47352;1.0980333;YEARLING;YEARLING;-0.01965044;110110;110018;110018;E;1ER03165;bs;0;CONTROL NEST;nonmanipulated;WPY;M;2.1;NA;NA;11.5;16.9;0.019;0.019;1.9;
FA472009;EPP;0;2009140;2009154;50;64;2009;1EP48800;M;4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;FA47;90030;1;RO20B;1EP48318;0.8784266;0.10359714;1EP48319;1.1712355;OLDER;YEARLING;0.10359714;90114;90005;90005;HAF;1EP48800;bs;3;experimental nests;enlarged;WPY;M;1.1;3.8;4.7;5.9;14.5;0.019666667;0.019666667;1.9666667;
RO8D2011;EPP;0;2011144;2011158;54;68;2011;1ER02574;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;RO8D;110145;1;FA48;1ER03683;1.024831;0.116338848;1ER03684;1.024831;YEARLING;YEARLING;0.116338848;110047;111010;111010;HC;1ER02574;bs;0;CONTROL NEST;nonmanipulated;WPY;M;2.2;NA;11.1;11.5;17.2;0.021;0.021;2.1;
BS54B2011;EPP;0;2011142;2011156;52;66;2011;1ER02094;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;BS54B;110035;1;BO6-;1ER03628;1.1712355;-0.106594636;1EP48665;0.9516288;YEARLING;OLDER;-0.106594636;110029;110015;110015;ABC;1ER02094;bs;3;experimental nests;enlarged;WPY;M;2.1;8.6;8.7;9.6;15.9;0.023333333;0.023333333;2.3333333;
FKIII112009;EPP;0;2009142;2009156;52;66;2009;1EP48474;M;4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;FKIII11;90045;0;FKIII11;1EP48353;0.8784266;0.124972903;1EP48354;0.9516288;YEARLING;YEARLING;0.124972903;90045;90012;90012;HAE;1EP48474;bs;3;experimental nests;enlarged;WPY;M;1.2;8.3;8.2;8.7;16.1;0.023333333;0.023333333;2.3333333;
RO8D2011;EPP;0;2011144;2011158;54;68;2011;1ER02579;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;RO8D;110145;1;FA48;1ER03683;1.024831;0.116338848;1ER03684;1.024831;YEARLING;YEARLING;0.116338848;110047;111010;111010;HG;1ER02579;bs;0;CONTROL NEST;nonmanipulated;WPY;M;2.1;NA;NA;11.9;17.7;0.024;0.024;2.4;
OJ1802011;EPP;0;2011143;2011157;53;67;2011;1ER02463;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;OJ180;110106;0;OJ180;1ER03675;0.8052244;0.114004625;1ER03674;0.9516288;YEARLING;YEARLING;0.114004625;110106;111012;111012;HB;1ER02463;bs;0;CONTROL NEST;nonmanipulated;WPY;M;2.1;11;NA;12.3;17.2;0.024333333;0.024333333;2.4333333;
BS54B2011;EPP;0;2011142;2011156;52;66;2011;1ER02099;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;BS54B;110035;1;BO6-;1ER03628;1.1712355;-0.106594636;1EP48665;0.9516288;YEARLING;OLDER;-0.106594636;110029;110015;110015;AE;1ER02099;bs;3;experimental nests;enlarged;WPY;M;3;8.3;8.3;8.7;16.4;0.026333333;0.026333333;2.6333333;
