KOD;CODESTART;CODEEND;CS;RINGM;MAGE;FAGE;4CAT;MTARS;MMASS;FMASS;FTARS;FRING;EPP;LD;EPC;BOX;BOX ID;YEAR;GS;FAGE2;Brood size;Number of EPY;procent
RO4C2009;2009096;2009110;10;1EP47474;P2;2;OY;17.1;11.6;15.5;12.6;1EP47403;EPY;20;1;RO4C;2009RO4C;2009;NA;YEARLING;8;1;12.5
FO612009;2009097;2009111;11;1EP47447;P2;P2;OO;16.9;11.4;16.5;12.7;1EP47400;WPY;21;0;FO61;2009FO61;2009;-0.009604796;OLDER;6;0;0
FP762010;2010086;2010100;10;1EP48125;P2;P2;OO;16.77;12.3;17.15;12.2;1EP47404;EPY;NA;1;FP76;2010FP76;2010;0.162645464;OLDER;8;1;12.5
AN252010;2010087;2010101;11;1EP48124;P2;2;OY;17.86;12.8;16.74;10.7;1EP46477;WPY;NA;0;AN25;2010AN25;2010;NA;YEARLING;10;0;0
BJ22010;2010088;2010102;12;1ER02209;2;P2;YO;17.42;11.9;15.69;11.1;1EP46799;WPY;NA;0;BJ2;2010BJ2;2010;0.049729511;OLDER;9;0;0
BO62010;2010090;2010104;14;1EP48361;P2;2;OY;16.91;12.7;16.78;12.3;1EP46450;WPY;NA;0;BO6;2010BO6;2010;-0.143953366;YEARLING;7;0;0
GR192011;2011087;2011101;11;1EL97629;P2;P2;OO;17.2;11.1;16.45;11.1;1ER03644;EPY;NA;1;GR19;2011GR19;2011;-0.006874233;OLDER;12;2;16.66666667
OJ1282011;2011097;2011111;11;1EP47311;2;P2;OY;16.82;11;16.95;11.1;1ER03633;WPY;21;0;OJ128;2011OJ128;2011;-0.057928022;OLDER;9;0;0
RO202011;2011098;2011112;12;1ER03658;2;2;YY;17.43;12.3;17.43;11.2;1ER03657;EPY;22;1;RO20;2011RO20;2011;0.144061325;YEARLING;10;3;30
RE47C2011;2011098;2011112;10;1EP46492;P2;P2;OO;18.06;11.5;16.81;11.8;1EP47401;WPY;22;0;RE47C;2011RE47C;2011;-0.087057888;OLDER;10;0;0
OJ188B2014;2014093;2014107;10;1EX15062;P2;P2;OO;17.6;11.1;10.6;16.2;1ET41996;NA;17;0;OJ188B;;2014;;;;;
