"KOD";"CODESTART";"CODEEND";"CS";"RINGM";"MAGE";"FAGE";"X4CAT";"MTARS";"MMASS";"FMASS";"FTARS";"FRING";"EPP";"LD";"EPC";"BOX";"BOX.ID";"YEAR";"GS";"FAGE2";"Brood.size";"Number.of.EPY";"procent";"TEMP_BROOD14_mean";"PRCP_BROOD14_sum";"TEMP_BROOD14_min";"TEMP_BROOD14_max";"TEMP_BROOD14_var";"PRCP_BROOD14_min";"PRCP_BROOD14_max";"PRCP_BROOD14_var";"TEMP_BROOD30_mean";"PRCP_BROOD30_sum";"TEMP_BROOD30_min";"TEMP_BROOD30_max";"TEMP_BROOD30_var";"PRCP_BROOD30_min";"PRCP_BROOD30_max";"PRCP_BROOD30_var";"PCA14_2";"PCA14_1";"PCA30_1";"PCA30_2"
"RO4C2009";2009096;2009110;10;"1EP47474";"P2";"2";"OY";17.1;11.6;15.5;12.6;"1EP47403";"EPY";20;1;"RO4C";"2009RO4C";2009;NA;"YEARLING";8;1;12.5;5.73333333333333;7.6;2.3;7.5;2.24809523809524;0;5.8;2.3592380952381;3.91290322580645;36.7;-6;7.5;11.8338279569892;0;12;7.58406451612903;0.727068639216998;-2.11804537564241;0.320458629384611;4.62922684987653
"FO612009";2009097;2009111;11;"1EP47447";"P2";"P2";"OO";16.9;11.4;16.5;12.7;"1EP47400";"WPY";21;0;"FO61";"2009FO61";2009;-0.009604796;"OLDER";6;0;0;5.52666666666667;7.6;2.3;7.5;2.77066666666667;0;5.8;2.3592380952381;3.88064516129032;36.7;-6;7.5;11.8669462365591;0;12;7.58406451612903;0.736244723276471;-2.11606298885226;0.318685861474427;4.65261470361335
"FP762010";2010086;2010100;10;"1EP48125";"P2";"P2";"OO";16.77;12.3;17.15;12.2;"1EP47404";"EPY";NA;1;"FP76";"2010FP76";2010;0.162645464;"OLDER";8;1;12.5;4.17333333333333;9;2.1;6.5;1.28066666666667;0;4.8;1.75428571428571;2.3;14.9;-4;6.6;8.94333333333333;0;4.8;1.15561290322581;1.39750593559714;-3.11470736405281;-2.65667187856844;4.52734541903215
"AN252010";2010087;2010101;11;"1EP48124";"P2";"2";"OY";17.86;12.8;16.74;10.7;"1EP46477";"WPY";NA;0;"AN25";"2010AN25";2010;NA;"YEARLING";10;0;0;4.24;4.2;2.1;6.5;1.394;0;2.4;0.410285714285714;2.54838709677419;14.9;-4;6.6;8.54591397849462;0;4.8;1.15561290322581;0.801215462277286;-3.49246451067677;-2.66214468244473;4.33138227753107
"BJ22010";2010088;2010102;12;"1ER02209";"2";"P2";"YO";17.42;11.9;15.69;11.1;"1EP46799";"WPY";NA;0;"BJ2";"2010BJ2";2010;0.049729511;"OLDER";9;0;0;4.28;4.2;2.1;6.5;1.41457142857143;0;2.4;0.410285714285714;2.72258064516129;14.4;-4;6.6;8.35313978494624;0;4.8;1.16303225806452;0.788147826417901;-3.47695207474784;-2.66845286830279;4.19798909336054
"BO62010";2010090;2010104;14;"1EP48361";"P2";"2";"OY";16.91;12.7;16.78;12.3;"1EP46450";"WPY";NA;0;"BO6";"2010BO6";2010;-0.143953366;"YEARLING";7;0;0;4.45333333333333;4.2;2.1;6.5;1.3812380952381;0;2.4;0.410285714285714;3.22903225806452;14.4;-4;6.6;6.27879569892473;0;4.8;1.16303225806452;0.742883707015097;-3.42572714900216;-2.84934885640197;3.65750627312961
"GR192011";2011087;2011101;11;"1EL97629";"P2";"P2";"OO";17.2;11.1;16.45;11.1;"1ER03644";"EPY";NA;1;"GR19";"2011GR19";2011;-0.006874233;"OLDER";12;2;16.66666667;4.62;41.7;1.2;7.9;4.86742857142857;0;20.2;30.016;3.08387096774194;48;-1.7;7.9;7.6287311827957;0;20.2;16.1039139784946;6.05213337029081;1.60188254373059;1.33351163938242;3.17466850206139
"OJ1282011";2011097;2011111;11;"1EP47311";"2";"P2";"OY";16.82;11;16.95;11.1;"1ER03633";"WPY";21;0;"OJ128";"2011OJ128";2011;-0.057928022;"OLDER";9;0;0;6.94666666666667;1.1;4.4;11;3.81266666666667;0;1.1;0.0806666666666667;5.04516129032258;44;-1.7;11;8.78855913978495;0;20.2;15.9662795698925;-1.69772724138594;-0.827649897533583;2.42366348434009;1.49141220846762
"RO202011";2011098;2011112;12;"1ER03658";"2";"2";"YY";17.43;12.3;17.43;11.2;"1ER03657";"EPY";22;1;"RO20";"2011RO20";2011;0.144061325;"YEARLING";10;3;30;7.04666666666667;1.1;4.4;11;4.14552380952381;0;1.1;0.0806666666666667;5.13548387096774;44;-1.7;11;9.31303225806452;0;20.2;15.9662795698925;-1.75650488806719;-0.75211368602263;2.51150755036314;1.49473630012177
"RE47C2011";2011098;2011112;10;"1EP46492";"P2";"P2";"OO";18.06;11.5;16.81;11.8;"1EP47401";"WPY";22;0;"RE47C";"2011RE47C";2011;-0.087057888;"OLDER";10;0;0;7.04666666666667;1.1;4.4;11;4.14552380952381;0;1.1;0.0806666666666667;5.13548387096774;44;-1.7;11;9.31303225806452;0;20.2;15.9662795698925;-1.75650488806719;-0.75211368602263;2.51150755036314;1.49473630012177
